2458274.76357 19.134 0.184
2458283.73132 19.394 0.155
2458581.76155 19.173 0.140
2458582.88685 18.911 0.128
2458584.83892 18.897 0.101
2458586.74026 18.883 0.104
2458587.88256 18.910 0.103
2458588.92261 18.829 0.093
2458590.73685 18.448 0.090
2458594.81692 18.381 0.085
2458605.80190 16.431 0.019
2458606.83658 16.705 0.019
2458607.84412 16.995 0.025
2458612.92217 18.072 0.078
2458613.89584 18.095 0.061
2458614.87649 18.271 0.081
2458615.83361 18.397 0.066
2458616.75058 18.394 0.064
2458617.68180 18.571 0.086
2458617.89621 18.604 0.082
2458618.81827 18.591 0.100
2458619.72061 18.715 0.136
2458620.67275 18.636 0.120
2458620.83385 18.753 0.103
2458621.83966 18.833 0.151
2458635.70437 19.036 0.113
2458636.65998 19.242 0.152
2458639.75209 19.386 0.126
2458640.62505 19.920 0.320
2458641.67648 19.172 0.130
2458644.66366 19.496 0.166
2458647.70164 19.208 0.154
2458648.70641 19.754 0.345
2458656.73823 19.009 0.111
2458660.58335 19.395 0.182
2458661.62959 19.155 0.142
2458662.65686 19.594 0.240
2458666.58647 19.502 0.236
2458667.59995 19.328 0.221
2458668.59316 18.937 0.166
2458669.57879 19.304 0.233
2458670.57679 19.144 0.121
2458673.67532 19.656 0.185
