#-------------------------- MACHO Project ---------------------------
# Star 104.20251.50               18:03:34.050 -28:00:18.94 (J2000.0)
#--------------------------------------------------------------------
# Creation date (JD-2.449e+06): 1890.1104            278 observations
# Calibration: instrumental
#--------------------------------------------------------------------
# HJD-2.449e+06    r       err_r        b       err_b     obsid  tran
#    (days)      (mag)     (mag)      (mag)     (mag)
#--------------------------------------------------------------------
   216.9695     -7.783     0.021    -99.000   -99.000     11346     0
   217.8742     -7.811     0.032    -99.000   -99.000     11421     0
   218.0453     -7.759     0.016     -6.790     0.018     11461     0
   218.8827     -7.762     0.016    -99.000   -99.000     11500     0
   219.0529     -7.768     0.016     -6.770     0.019     11535     0
   219.8909     -7.751     0.016    -99.000   -99.000     11584     0
   221.8835     -7.738     0.016     -6.750     0.017     11678     0
   222.8786     -7.751     0.016     -6.756     0.017     11736     0
   223.8767     -7.772     0.016     -6.728     0.018     11828     0
   223.9673     -7.719     0.016    -99.000   -99.000     11855     0
   224.8878     -7.770     0.016     -6.713     0.019     11900     0
   224.9697     -7.760     0.016     -6.708     0.019     11923     0
   226.9415     -7.657     0.020    -99.000   -99.000     12007     0
   233.8821     -7.617     0.029    -99.000   -99.000     12041     0
